id,time,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026528.0163043,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.0329916,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.0496528,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.0663373,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.0829778,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.0996902,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.116308,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.1329706,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.1496391,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.1663282,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.1829865,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.1996639,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.216318,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.2330074,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.2496424,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.2663,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.2829714,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.2997077,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.3163202,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.3329911,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.3496432,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.3663242,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.382962,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.3996615,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.416362,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026528.4329872,0.0,0.0,0.0,0.0,0.0,0.0
